Supercharger Mode,RPM,MP [inHg],Pengine [bhp],Altitude [ft],TAS measured [mph],TAS solved [mph],Speed difference,Pitch angle [deg],J,Etap,Consumption [L/h],Mach Blade Tip,Speed difference in %
Low blower,3000,60.5,1450,5000,363,361.62089567458315,,39.008801014315054,1.9935751042343774,0.7814009062226125,544.6762359141252,0.9023590534533058,-0.37991854694678984
Low blower,3000,60.5,1485,10000,394,387.4654869807676,,41.134444186033114,2.1360534134897318,0.8059334524287011,557.8268936881366,0.9381870823732934,-1.658505842444773
Low blower,3000,60.5,1530,16800,425,425.7639857692949,,44.06353831272305,2.347188706354737,0.8368118232472798,574.7348822547225,0.9937317013167297,0.1797613574811508
High blower,3000,60.5,1270,23200,422,426.2638635773855,,44.19418664854628,2.349944476182445,0.8432508691605005,494.21382138003815,1.0198422318754252,1.010394212650594
High blower,3000,60.5,1275,29800,441,463.68983941516973,,46.89160321753919,2.5562696486885867,0.8659230132660886,496.15984508745277,1.0824716688939342,5.145088302759575
High blower,3000,48.0,985,35000,421,441.67935228797523,,45.620686933247114,2.434928322195295,0.8673004153984951,383.29047005739926,1.0870221480688318,4.911960163414545
High blower,3000,40.7,815,38000,403,418.67821147618884,,44.262399506450095,2.3081256339661547,0.8701571226659703,317.1256640052989,1.071427058264051,3.890375056126262
